Area,iso3,subregion,year,pou_pct,drought_occurred,total_affected,pou_lag_1,pou_lag_2,pou_lag_3,pou_change_1yr,pou_change_2yr,pou_change_3yr
South Africa,ZAF,Southern Africa,2004,3.4,1,15000000,3.3,3.3,3.4,-0.1,-0.1,0
South Africa,ZAF,Southern Africa,2015,6.4,1,2700000,6.6,6.4,6.1,0.2,0,-0.3
South Africa,ZAF,Southern Africa,2017,6.4,1,0,6.1,6.4,7.2,-0.3,0,0.8
South Africa,ZAF,Southern Africa,2019,6.4,1,750000,7.2,8.6,9.4,0.8,2.2,3
South Africa,ZAF,Southern Africa,2021,8.6,1,12000000,9.4,10,10,0.8,1.4,1.4
South Sudan,SSD,East Africa,2021,21.8,1,7723670,21.4,21,22.3,-0.4,-0.8,0.5
Sudan,SDN,North Africa,2015,8.4,1,800000,8.9,9.8,10.3,0.5,1.4,1.9
Uganda,UGA,East Africa,2002,21.2,1,655000,19.5,18.4,18.1,-1.7,-2.8,-3.1
Uganda,UGA,East Africa,2005,18.1,1,600000,18.8,19.2,19.6,0.7,1.1,1.5
Uganda,UGA,East Africa,2008,19.6,1,1100000,19.8,18.7,17.6,0.2,-0.9,-2
Uganda,UGA,East Africa,2011,17.6,1,669000,17.7,19.6,21.3,0.1,2,3.7
Uganda,UGA,East Africa,2022,25.6,1,518000,24.2,22,,-1.4,-3.6,
United Republic of Tanzania,TZA,East Africa,2003,33.6,1,1900000,32.1,31.5,28.5,-1.5,-2.1,-5.1
United Republic of Tanzania,TZA,East Africa,2004,32.1,1,254000,31.5,28.5,27,-0.6,-3.6,-5.1
United Republic of Tanzania,TZA,East Africa,2006,28.5,1,3700000,27,25.9,25.1,-1.5,-2.6,-3.4
United Republic of Tanzania,TZA,East Africa,2011,23.7,1,1000000,22.7,21.7,21.2,-1,-2,-2.5
United Republic of Tanzania,TZA,East Africa,2021,22.8,1,2100000,22.4,21.4,20.2,-0.4,-1.4,-2.6
Zambia,ZMB,East Africa,2005,49.5,1,1200000,49.4,48.1,46.8,-0.1,-1.4,-2.7
Zambia,ZMB,East Africa,2019,31.5,1,1430000,32.1,33.9,35.7,0.6,2.4,4.2
Zambia,ZMB,East Africa,2021,33.9,1,1580000,35.7,36.2,37.2,1.8,2.3,3.3
Zimbabwe,ZWE,East Africa,2007,28.7,1,2100000,27.9,27.1,28,-0.8,-1.6,-0.7
Zimbabwe,ZWE,East Africa,2010,28,1,1667618,29.2,29.9,29.6,1.2,1.9,1.6
Zimbabwe,ZWE,East Africa,2013,29.6,1,4300000,31.1,33.4,34.3,1.5,3.8,4.7
Zimbabwe,ZWE,East Africa,2017,32.8,1,6900000,30.9,31,30,-1.9,-1.8,-2.8
Zimbabwe,ZWE,East Africa,2021,28.2,1,167500,24.8,21.4,19.7,-3.4,-6.8,-8.5
